Prey,Predator
5,2
6.14484,1.2058
7.82901,0.763536
10.1767,0.518536
13.3745,0.387776
17.6742,0.330382
23.3937,0.335111
30.8823,0.427894
40.3303,0.734749
50.8196,1.79655
55.9576,5.95228
39.1831,16.6539
15.9007,20.9762
7.21056,15.0489
4.74975,9.12565
4.19904,5.28551
4.4416,3.04978
5.20419,1.7914
6.45661,1.08974
8.26963,0.699115
10.7807,0.48348
14.1899,0.370594
18.7636,0.326384
24.8312,0.345951
32.7345,0.467843
42.5581,0.863059
52.7935,2.27802
54.6823,7.74074
33.2117,18.7902
13.1371,20.0401
6.43268,13.6279
4.55902,8.14396
4.22142,4.70559
4.5855,2.72336
5.4529,1.61064
6.82063,0.990249
8.77507,0.644945
11.4671,0.455351
15.1109,0.358929
19.9874,0.328134
26.4353,0.365373
34.7746,0.5266
44.917,1.04986
54.4514,2.9874
51.7532,10.0694
27.0931,20.3828
10.8472,18.6724
5.81083,12.158
4.43197,7.18404
4.29186,4.14858
4.78197,2.41238
5.76704,1.43943
7.26939,0.896779
9.39156,0.59497
12.2994,0.43078
16.223,0.351243
21.4586,0.335879
28.3501,0.396741
37.17,0.616618
47.5286,1.34363
55.5416,4.1136
46.5914,13.046
21.1948,21.1462
8.89957,16.9619
5.2731,10.6402
4.33202,6.22652
4.38591,3.59651
5.01141,2.1033
6.12904,1.26797
7.78585,0.802084
10.1017,0.543601
13.2593,0.405181
17.5061,0.343519
23.1547,0.345984
30.5482,0.437404
39.8741,0.740836
50.25,1.77921
55.5629,5.78858
39.663,16.2191
16.3938,20.8474
7.43273,15.1379
4.86576,9.23055
4.27776,5.36379
4.50722,3.10258
5.26735,1.82646
6.5236,1.11358
8.34534,0.71618
10.8697,0.496703
14.2965,0.382031
18.8918,0.337839
24.9822,0.359848
32.9001,0.489365
42.6943,0.907739
52.7228,2.40086
53.9129,8.05406
32.2029,18.8804
12.8788,19.6966
6.42736,13.3518
4.61435,7.98796
4.30208,4.62654
4.68883,2.68617
5.58418,1.59511
6.98876,0.98581
8.99202,0.646362
11.7483,0.460322
15.4754,0.366949
20.4574,0.34038
27.0311,0.386127
35.4947,0.569512
45.6515,1.16532
54.6095,3.37795
49.7608,11.0709
24.8496,20.5956
10.1751,17.9601
5.67707,11.5598
4.45633,6.82116
4.38752,3.9477
4.9326,2.30545
5.97675,1.38425
7.55166,0.869793
9.76699,0.583697
12.7958,0.429074
16.8757,0.356921
22.3089,0.350365
29.4351,0.428074
38.4772,0.693866
48.7892,1.58351
55.3805,4.97478
42.751,14.7029
18.4917,20.9432
8.12607,15.8999
5.09958,9.83561
4.3533,5.74369
4.50598,3.32622
5.21168,1.95612
6.416,1.18925
8.17874,0.761216
10.63,0.524227
13.963,0.399204
18.4359,0.348213
24.3687,0.36406
32.0926,0.482979
41.6946,0.867956
51.7773,2.2163
54.2699,7.32085
34.3238,18.0356
13.9011,19.9722
6.76725,13.8285
4.7378,8.33374
4.34435,4.83978
4.68792,2.81183
5.55061,1.66871
6.92292,1.02951
8.88895,0.673043
11.5988,0.477226
15.2659,0.378058
20.1693,0.347664
26.6416,0.389768
34.9818,0.565908
45.0286,1.13508
54.1111,3.22284
50.2897,10.5399
25.9266,20.2646
10.6213,18.1586
5.84306,11.8003
4.52997,6.99015
4.42387,4.0529
4.94882,2.36898
5.97846,1.42283
7.53993,0.89388
9.7404,0.599463
12.7509,0.440119
16.8068,0.365387
22.2074,0.357616
29.2888,0.435061
38.2697,0.700883
48.5092,1.58604
