Day,Prey
0,5
1,6.14484
2,7.82901
3,10.1767
4,13.3745
5,17.6742
6,23.3937
7,30.8823
8,40.3303
9,50.8196
10,55.9576
11,39.1831
12,15.9007
13,7.21056
14,4.74975
15,4.19904
16,4.4416
17,5.20419
18,6.45661
19,8.26963
20,10.7807
21,14.1899
22,18.7636
23,24.8312
24,32.7345
25,42.5581
26,52.7935
27,54.6823
28,33.2117
29,13.1371
30,6.43268
31,4.55902
32,4.22142
33,4.5855
34,5.4529
35,6.82063
36,8.77507
37,11.4671
38,15.1109
39,19.9874
40,26.4353
41,34.7746
42,44.917
43,54.4514
44,51.7532
45,27.0931
46,10.8472
47,5.81083
48,4.43197
49,4.29186
50,4.78197
51,5.76704
52,7.26939
53,9.39156
54,12.2994
55,16.223
56,21.4586
57,28.3501
58,37.17
59,47.5286
60,55.5416
61,46.5914
62,21.1948
63,8.89957
64,5.2731
65,4.33202
66,4.38591
67,5.01141
68,6.12904
69,7.78585
70,10.1017
71,13.2593
72,17.5061
73,23.1547
74,30.5482
75,39.8741
76,50.25
77,55.5629
78,39.663
79,16.3938
80,7.43273
81,4.86576
82,4.27776
83,4.50722
84,5.26735
85,6.5236
86,8.34534
87,10.8697
88,14.2965
89,18.8918
90,24.9822
91,32.9001
92,42.6943
93,52.7228
94,53.9129
95,32.2029
96,12.8788
97,6.42736
98,4.61435
99,4.30208
100,4.68883
101,5.58418
102,6.98876
103,8.99202
104,11.7483
105,15.4754
106,20.4574
107,27.0311
108,35.4947
109,45.6515
110,54.6095
111,49.7608
112,24.8496
113,10.1751
114,5.67707
115,4.45633
116,4.38752
117,4.9326
118,5.97675
119,7.55166
120,9.76699
121,12.7958
122,16.8757
123,22.3089
124,29.4351
125,38.4772
126,48.7892
127,55.3805
128,42.751
129,18.4917
130,8.12607
131,5.09958
132,4.3533
133,4.50598
134,5.21168
135,6.416
136,8.17874
137,10.63
138,13.963
139,18.4359
140,24.3687
141,32.0926
142,41.6946
143,51.7773
144,54.2699
145,34.3238
146,13.9011
147,6.76725
148,4.7378
149,4.34435
150,4.68792
151,5.55061
152,6.92292
153,8.88895
154,11.5988
155,15.2659
156,20.1693
157,26.6416
158,34.9818
159,45.0286
160,54.1111
161,50.2897
162,25.9266
163,10.6213
164,5.84306
165,4.52997
166,4.42387
167,4.94882
168,5.97846
169,7.53993
170,9.7404
171,12.7509
172,16.8068
173,22.2074
174,29.2888
175,38.2697
176,48.5092
177,55.103
178,42.8224
179,18.7244
180,8.25154
181,5.17044
182,4.40434
183,4.55091
184,5.25704
185,6.46604
186,8.2371
187,10.7004
188,14.0492
189,18.542
190,24.497
191,32.2395
192,41.8325
193,51.7852
194,53.7831
195,33.5515
196,13.6658
197,6.74364
198,4.76793
199,4.3958
200,4.7565
201,5.63914
202,7.03716
203,9.03694
204,11.791
205,15.5152
206,20.4908
207,27.0488
208,35.4724
209,45.5229
210,54.1946
211,48.934
212,24.4791
213,10.1821
214,5.75266
215,4.54472
216,4.48692
217,5.04922
218,6.11887
219,7.72931
220,9.99249
221,13.0842
222,17.2446
223,22.7765
224,30.0114
225,39.1278
226,49.285
227,54.7752
228,40.2365
229,17.1928
230,7.8257
231,5.08228
232,4.43119
233,4.64005
234,5.39933
235,6.66717
236,8.51077
237,11.067
238,14.536
239,19.1828
240,25.3291
241,33.2856
242,43.0226
243,52.5977
244,52.2864
245,30.1722
246,12.3399
247,6.40015
248,4.71713
249,4.46081
250,4.89632
251,5.85034
252,7.33125
253,9.43499
254,12.3228
255,16.2199
256,21.4151
257,28.2389
258,36.9336
259,47.0365
260,54.5377
261,45.3682
262,21.0385
263,9.0788
264,5.46439
265,4.51704
266,4.58106
267,5.2336
268,6.3953
269,8.11514
270,10.5165
271,13.7863
272,18.1759
273,23.9964
274,31.5692
275,40.9786
276,50.9012
277,53.7811
278,35.1014
279,14.5501
280,7.0723
281,4.9084
282,4.46648
283,4.79359
284,5.65485
285,7.0352
286,9.01689
287,11.7495
288,15.4463
289,20.3845
290,26.8903
291,35.2399
292,45.1888
293,53.7732
294,48.7493
295,24.7351
296,10.3729
297,5.86368
298,4.62366
299,4.55569
300,5.11834
301,6.19506
302,7.81828
303,10.1
304,13.2165
305,17.4083
306,22.9768
307,30.2466
308,39.3688
309,49.3951
310,54.277
311,38.9844
312,16.6694
313,7.73862
314,5.10997
315,4.49854
316,4.73433
317,5.5226
318,6.82689
319,8.71799
320,11.3363
321,14.8856
322,19.6342
323,25.9027
324,33.9841
325,43.7591
326,52.8943
327,50.7154
328,27.8418
329,11.5531
330,6.23026
331,4.72907
332,4.55015
333,5.04183
334,6.05431
335,7.60609
336,9.80024
337,12.805
338,16.8525
339,22.2367
340,29.2823
341,38.1791
342,48.2059
343,54.2962
344,41.7473
345,18.5051
346,8.33952
347,5.29995
348,4.54392
349,4.70664
350,5.44009
351,6.68954
352,8.51662
353,11.0548
354,14.5012
355,19.117
356,25.2178
357,33.1044
358,42.728
359,52.1275
360,51.7473
361,30.1385
362,12.5047
363,6.53115
364,4.8216
365,4.5579
