Time,Euler_x,Euler_y,RK4_x,RK4_y
0,3134,1042,3134,1042
0.01,1184.03,2177.68,1189.68,2168.48
0.02,-359.477,3064.88,316.827,2661.28
0.03,300.497,2657.81,86.3534,2776.71
0.04,-177.8,2918.74,23.6026,2793.81
0.05,133.038,2716.68,6.43527,2784.3
0.06,-83.4154,2824.16,1.75046,2767.6
0.07,57.6813,2721.93,0.475237,2749.04
0.08,-36.3485,2757.83,0.128828,2730.06
0.09,23.6883,2703.44,0.0348832,2711.07
0.1,-14.6646,2706.93,0.00943786,2692.18
0.11,9.10906,2674.09,0.00255229,2673.4
0.12,-5.47868,2663.9,0.00069012,2654.75
0.13,3.26167,2640.14,0.000186636,2636.24
0.14,-1.89531,2624.67,5.04977e-05,2617.85
0.15,1.08375,2604.56,1.36736e-05,2599.59
0.16,-0.606613,2587.32,3.70641e-06,2581.45
0.17,0.333267,2568.66,1.00601e-06,2563.44
0.18,-0.179362,2550.98,2.73491e-07,2545.56
0.19,0.094629,2532.96,7.44884e-08,2527.81
0.2,-0.0489019,2515.31,2.03304e-08,2510.17
0.21,0.0247535,2497.66,5.56182e-09,2492.66
0.22,-0.0122678,2480.2,1.52547e-09,2475.28
0.23,0.00595134,2462.83,4.19563e-10,2458.01
0.24,-0.00282508,2445.59,1.15742e-10,2440.86
0.25,0.00131184,2428.47,3.20315e-11,2423.84
0.26,-0.000595685,2411.47,8.89475e-12,2406.93
0.27,0.000264415,2394.59,2.47882e-12,2390.14
0.28,-0.000114691,2377.83,6.93404e-13,2373.47
0.29,4.85946e-05,2361.19,1.9473e-13,2356.91
0.3,-2.01041e-05,2344.66,5.49102e-14,2340.47
0.31,8.11793e-06,2328.24,1.55495e-14,2324.14
0.32,-3.19803e-06,2311.95,4.42266e-15,2307.93
0.33,1.22858e-06,2295.76,1.26363e-15,2291.83
0.34,-4.60052e-07,2279.69,3.62726e-16,2275.85
0.35,1.67834e-07,2263.74,1.04621e-16,2259.97
0.36,-5.96216e-08,2247.89,3.03241e-17,2244.21
0.37,2.06132e-08,2232.15,8.83365e-18,2228.55
0.38,-6.93206e-09,2216.53,2.58654e-18,2213.01
0.39,2.26621e-09,2201.01,7.61325e-19,2197.57
0.4,-7.19765e-10,2185.61,2.25286e-19,2182.24
0.41,2.21949e-10,2170.31,6.70272e-20,2167.02
0.42,-6.64037e-11,2155.11,2.0052e-20,2151.9
0.43,1.92616e-11,2140.03,6.03237e-21,2136.89
0.44,-5.41285e-12,2125.05,1.82505e-21,2121.98
0.45,1.47245e-12,2110.17,5.55327e-22,2107.18
0.46,-3.87408e-13,2095.4,1.69957e-22,2092.48
0.47,9.84951e-14,2080.73,5.23201e-23,2077.89
0.48,-2.41747e-14,2066.17,1.62019e-23,2063.39
0.49,5.72218e-15,2051.71,5.04721e-24,2049
0.5,-1.30479e-15,2037.34,1.58179e-24,2034.71
0.51,2.86279e-16,2023.08,4.98738e-25,2020.51
0.52,-6.03619e-17,2008.92,1.58214e-25,2006.42
0.53,1.22144e-17,1994.86,5.04987e-26,1992.42
0.54,-2.36855e-18,1980.89,1.62179e-26,1978.53
0.55,4.39453e-19,1967.03,5.24081e-27,1964.72
0.56,-7.78785e-20,1953.26,1.70414e-27,1951.02
0.57,1.3158e-20,1939.59,5.57606e-28,1937.41
0.58,-2.11517e-21,1926.01,1.836e-28,1923.9
0.59,3.22786e-22,1912.53,6.08343e-29,1910.48
0.6,-4.66478e-23,1899.14,2.02844e-29,1897.15
0.61,6.36666e-24,1885.85,6.80646e-30,1883.91
0.62,-8.18162e-25,1872.64,2.29842e-30,1870.77
0.63,9.86594e-26,1859.54,7.81072e-31,1857.72
0.64,-1.1121e-26,1846.52,2.67121e-31,1844.77
0.65,1.16672e-27,1833.59,9.19356e-32,1831.9
0.66,-1.13354e-28,1820.76,3.18433e-32,1819.12
0.67,1.01401e-29,1808.01,1.10997e-32,1806.43
0.68,-8.29541e-31,1795.36,3.89374e-33,1793.83
0.69,6.15637e-32,1782.79,1.37461e-33,1781.32
0.7,-4.10468e-33,1770.31,4.88366e-34,1768.89
0.71,2.42939e-34,1757.92,1.74609e-34,1756.55
0.72,-1.25723e-35,1745.61,6.28256e-35,1744.3
0.73,5.57799e-37,1733.39,2.27485e-35,1732.13
0.74,-2.06585e-38,1721.26,8.28919e-36,1720.05
0.75,6.14706e-40,1709.21,3.03953e-36,1708.05
0.76,-1.38471e-41,1697.25,1.12158e-36,1696.13
0.77,2.12519e-43,1685.37,4.16468e-37,1684.3
0.78,-1.74673e-45,1673.57,1.55615e-37,1672.55
0.79,1.99237e-48,1661.85,5.85099e-38,1660.89
0.8,1.17318e-50,1650.22,2.21366e-38,1649.3
0.81,1.50966e-52,1638.67,8.42733e-39,1637.8
0.82,2.98899e-54,1627.2,3.22816e-39,1626.37
0.83,7.97507e-56,1615.81,1.24422e-39,1615.03
0.84,2.6729e-57,1604.5,4.82516e-40,1603.76
0.85,1.07723e-58,1593.27,1.88271e-40,1592.57
0.86,5.06742e-60,1582.11,7.39107e-41,1581.47
0.87,2.72286e-61,1571.04,2.91925e-41,1570.43
0.88,1.644e-62,1560.04,1.16002e-41,1559.48
0.89,1.10108e-63,1549.12,4.63744e-42,1548.6
0.9,8.09603e-65,1538.28,1.86509e-42,1537.8
0.91,6.47961e-66,1527.51,7.54605e-43,1527.07
0.92,5.60455e-67,1516.82,3.07132e-43,1516.42
0.93,5.20722e-68,1506.2,1.2575e-43,1505.84
0.94,5.1698e-69,1495.65,5.17907e-44,1495.34
0.95,5.45969e-70,1485.18,2.14559e-44,1484.91
0.96,6.10879e-71,1474.79,8.94095e-45,1474.55
0.97,7.21613e-72,1464.47,3.74755e-45,1464.26
0.98,8.97116e-73,1454.21,1.57989e-45,1454.05
0.99,1.17048e-73,1444.03,6.69897e-46,1443.91
1,1.59864e-74,1433.93,2.8568e-46,1433.83
1.01,2.28037e-75,1423.89,1.22526e-46,1423.83
1.02,3.39015e-76,1413.92,5.285e-47,1413.9
1.03,5.24277e-77,1404.02,2.29251e-47,1404.04
1.04,8.41914e-78,1394.2,1.00004e-47,1394.24
1.05,1.40164e-78,1384.44,4.38682e-48,1384.52
1.06,2.41556e-79,1374.75,1.93507e-48,1374.86
1.07,4.30339e-80,1365.12,8.58304e-49,1365.27
1.08,7.91508e-81,1355.57,3.82802e-49,1355.75
1.09,1.50118e-81,1346.08,1.71664e-49,1346.29
1.1,2.9326e-82,1336.65,7.74008e-50,1336.9
1.11,5.89474e-83,1327.3,3.5088e-50,1327.57
1.12,1.21798e-83,1318.01,1.59921e-50,1318.31
1.13,2.5845e-84,1308.78,7.32777e-51,1309.12
1.14,5.62726e-85,1299.62,3.37556e-51,1299.98
1.15,1.25616e-85,1290.52,1.56319e-51,1290.92
1.16,2.87268e-86,1281.49,7.2771e-52,1281.91
1.17,6.72514e-87,1272.52,3.40542e-52,1272.97
1.18,1.6106e-87,1263.61,1.60191e-52,1264.09
1.19,3.94329e-88,1254.77,7.57429e-53,1255.27
1.2,9.86377e-89,1245.98,3.59976e-53,1246.52
1.21,2.51932e-89,1237.26,1.71956e-53,1237.82
1.22,6.56644e-90,1228.6,8.2558e-54,1229.19
1.23,1.74563e-90,1220,3.9837e-54,1220.61
1.24,4.73066e-91,1211.46,1.93191e-54,1212.1
1.25,1.30625e-91,1202.98,9.41557e-55,1203.64
1.26,3.67334e-92,1194.56,4.61159e-55,1195.25
1.27,1.05155e-92,1186.2,2.2698e-55,1186.91
1.28,3.06298e-93,1177.89,1.12265e-55,1178.63
1.29,9.07453e-94,1169.65,5.57961e-56,1170.41
1.3,2.73335e-94,1161.46,2.78648e-56,1162.24
1.31,8.36745e-95,1153.33,1.39826e-56,1154.14
1.32,2.6023e-95,1145.26,7.04995e-57,1146.09
1.33,8.21925e-96,1137.24,3.57138e-57,1138.09
1.34,2.63555e-96,1129.28,1.81772e-57,1130.15
1.35,8.57695e-97,1121.37,9.29485e-58,1122.27
1.36,2.8319e-97,1113.52,4.77499e-58,1114.44
1.37,9.48362e-98,1105.73,2.46435e-58,1106.67
1.38,3.22028e-98,1097.99,1.27767e-58,1098.95
1.39,1.10844e-98,1090.3,6.65446e-59,1091.28
1.4,3.86644e-99,1082.67,3.48151e-59,1083.67
1.41,1.36639e-99,1075.09,1.82966e-59,1076.11
1.42,4.89091e-100,1067.57,9.65852e-60,1068.6
1.43,1.77276e-100,1060.09,5.12123e-60,1061.15
1.44,6.50502e-101,1052.67,2.7274e-60,1053.75
1.45,2.41594e-101,1045.3,1.45889e-60,1046.4
1.46,9.07951e-102,1037.99,7.83757e-61,1039.1
1.47,3.4521e-102,1030.72,4.22877e-61,1031.85
1.48,1.32756e-102,1023.51,2.29144e-61,1024.65
1.49,5.16284e-103,1016.34,1.24696e-61,1017.5
1.5,2.03e-103,1009.23,6.81446e-62,1010.41
1.51,8.0685e-104,1002.16,3.73969e-62,1003.36
1.52,3.24114e-104,995.148,2.06088e-62,996.359
1.53,1.31561e-104,988.182,1.14043e-62,989.408
1.54,5.39521e-105,981.265,6.33685e-63,982.507
1.55,2.23492e-105,974.396,3.53553e-63,975.653
1.56,9.35006e-106,967.575,1.98062e-63,968.848
1.57,3.94998e-106,960.802,1.11403e-63,962.089
1.58,1.68474e-106,954.076,6.29126e-64,955.378
1.59,7.25372e-107,947.398,3.56702e-64,948.714
1.6,3.15218e-107,940.766,2.03044e-64,942.096
1.61,1.38236e-107,934.181,1.16033e-64,935.524
1.62,6.11683e-108,927.641,6.65684e-65,928.999
1.63,2.73064e-108,921.148,3.83387e-65,922.518
1.64,1.22964e-108,914.7,2.21655e-65,916.083
1.65,5.58478e-109,908.297,1.2864e-65,909.693
1.66,2.55795e-109,901.939,7.49423e-66,903.347
1.67,1.18135e-109,895.625,4.38242e-66,897.046
1.68,5.50068e-110,889.356,2.57234e-66,890.789
1.69,2.58194e-110,883.131,1.51551e-66,884.575
1.7,1.22157e-110,876.949,8.96174e-67,878.405
1.71,5.82484e-111,870.81,5.31888e-67,872.277
1.72,2.79892e-111,864.714,3.16834e-67,866.193
1.73,1.35516e-111,858.661,1.89415e-67,860.15
1.74,6.61049e-112,852.651,1.13647e-67,854.15
1.75,3.24846e-112,846.682,6.84312e-68,848.192
1.76,1.60796e-112,840.755,4.13513e-68,842.276
1.77,8.01642e-113,834.87,2.50758e-68,836.4
1.78,4.02487e-113,829.026,1.52594e-68,830.566
1.79,2.03491e-113,823.223,9.31818e-69,824.772
1.8,1.0359e-113,817.46,5.70982e-69,819.019
1.81,5.30926e-114,811.738,3.51077e-69,813.306
1.82,2.73935e-114,806.056,2.166e-69,807.633
1.83,1.42273e-114,800.413,1.34086e-69,801.999
1.84,7.43733e-115,794.811,8.32851e-70,796.405
1.85,3.91288e-115,789.247,5.19037e-70,790.849
1.86,2.07168e-115,783.722,3.24539e-70,785.333
1.87,1.10372e-115,778.236,2.03593e-70,779.854
1.88,5.9166e-116,772.788,1.28138e-70,774.414
1.89,3.19098e-116,767.379,8.09096e-71,769.013
1.9,1.73134e-116,762.007,5.12532e-71,763.648
1.91,9.44957e-117,756.673,3.2571e-71,758.321
1.92,5.18778e-117,751.377,2.07645e-71,753.032
1.93,2.86456e-117,746.117,1.32795e-71,747.779
1.94,1.59077e-117,740.894,8.51925e-72,742.563
1.95,8.88389e-118,735.708,5.48243e-72,737.383
1.96,4.98897e-118,730.558,3.53904e-72,732.239
1.97,2.8171e-118,725.444,2.29156e-72,727.131
1.98,1.59936e-118,720.366,1.48833e-72,722.059
1.99,9.12885e-119,715.323,9.6958e-73,717.023
2,5.23819e-119,710.316,6.33537e-73,712.021
2.01,3.02144e-119,705.344,4.15199e-73,707.054
2.02,1.75181e-119,700.406,2.72915e-73,702.122
2.03,1.02088e-119,695.504,1.79919e-73,697.224
2.04,5.97927e-120,690.635,1.18959e-73,692.361
2.05,3.51951e-120,685.801,7.88816e-74,687.531
2.06,2.08186e-120,681,5.24575e-74,682.735
2.07,1.23746e-120,676.233,3.4985e-74,677.973
2.08,7.39085e-121,671.499,2.33987e-74,673.244
2.09,4.43525e-121,666.799,1.56937e-74,668.547
2.1,2.6741e-121,662.131,1.05555e-74,663.884
2.11,1.61976e-121,657.496,7.11937e-75,659.253
2.12,9.85628e-122,652.894,4.81509e-75,654.654
2.13,6.02479e-122,648.324,3.26557e-75,650.088
2.14,3.69926e-122,643.785,2.22075e-75,645.553
2.15,2.28144e-122,639.279,1.51431e-75,641.05
2.16,1.4132e-122,634.804,1.03537e-75,636.578
2.17,8.79175e-123,630.36,7.09807e-76,632.138
2.18,5.49294e-123,625.948,4.87904e-76,627.728
2.19,3.44644e-123,621.566,3.36258e-76,623.349
2.2,2.17147e-123,617.215,2.32352e-76,619.001
2.21,1.37382e-123,612.895,1.60971e-76,614.683
2.22,8.7274e-124,608.604,1.11807e-76,610.396
2.23,5.56666e-124,604.344,7.7858e-77,606.138
2.24,3.56485e-124,600.114,5.43553e-77,601.91
2.25,2.29196e-124,595.913,3.80432e-77,597.711
2.26,1.47935e-124,591.742,2.66932e-77,593.542
2.27,9.58552e-125,587.599,1.87762e-77,589.401
2.28,6.23481e-125,583.486,1.324e-77,585.29
2.29,4.07076e-125,579.402,9.35911e-78,581.207
2.3,2.66781e-125,575.346,6.63194e-78,577.153
2.31,1.75486e-125,571.319,4.71084e-78,573.127
2.32,1.15858e-125,567.319,3.35429e-78,569.129
2.33,7.67683e-126,563.348,2.39409e-78,565.159
2.34,5.10502e-126,559.405,1.71282e-78,561.217
2.35,3.40687e-126,555.489,1.2283e-78,557.302
2.36,2.28161e-126,551.6,8.82903e-79,553.414
2.37,1.53333e-126,547.739,6.36107e-79,549.554
2.38,1.03401e-126,543.905,4.59356e-79,545.721
2.39,6.99671e-127,540.098,3.32479e-79,541.914
2.4,4.75036e-127,536.317,2.41194e-79,538.134
2.41,3.23599e-127,532.563,1.75367e-79,534.38
2.42,2.21168e-127,528.835,1.27793e-79,530.652
2.43,1.51654e-127,525.133,9.3332e-80,526.951
2.44,1.04326e-127,521.457,6.83149e-80,523.275
2.45,7.19982e-128,517.807,5.01135e-80,519.625
2.46,4.98455e-128,514.182,3.68418e-80,516
2.47,3.46172e-128,510.583,2.71437e-80,512.401
2.48,2.41161e-128,507.009,2.00415e-80,508.827
2.49,1.68522e-128,503.46,1.48292e-80,505.277
2.5,1.18121e-128,499.936,1.09959e-80,501.753
2.51,8.30437e-129,496.436,8.1706e-81,498.253
2.52,5.85573e-129,492.961,6.08398e-81,494.777
2.53,4.14131e-129,489.51,4.53966e-81,491.326
2.54,2.93741e-129,486.084,3.39434e-81,487.898
2.55,2.08952e-129,482.681,2.54317e-81,484.495
2.56,1.49065e-129,479.302,1.90933e-81,481.115
2.57,1.06644e-129,475.947,1.43636e-81,477.759
2.58,7.65096e-130,472.616,1.08272e-81,474.427
2.59,5.50433e-130,469.307,8.17774e-82,471.117
2.6,3.97091e-130,466.022,6.18885e-82,467.831
2.61,2.87251e-130,462.76,4.69289e-82,464.568
2.62,2.08355e-130,459.521,3.56548e-82,461.327
2.63,1.51534e-130,456.304,2.71416e-82,458.109
2.64,1.10502e-130,453.11,2.07009e-82,454.913
2.65,8.07914e-131,449.938,1.58188e-82,451.74
